N,Non Reset tau (rbar=0.0+s=-0.9),Reset tau (rbar=0.0+s=-0.9)
10,303.41,8.253896242774433
10,303.41,8.253896242774433
12,419.03,8.481989261802212
13,485.86,8.579581164829587
14,555.8200000000001,8.668754586859253
15,635.85,8.75085545811716
17,799.24,8.897823388161585
19,977.9400000000001,9.026607334280795
21,1180.61,9.141283657924205
23,1387.44,9.244699106162351
25,1630.51,9.338918376879901
28,2022.09,9.466281025149598
30,2282.35,9.543508699860322
33,2755.34,9.649911051139734
37,3417.06,9.777343772844862
40,3909.1,9.86408099451708
44,4719.21,9.970097893576376
49,5774.36,10.08989285189939
54,6877.88,10.19819708424189
59,8192.290000000001,10.29710403421085
65,9757.880000000001,10.40556300282185
71,11622.67,10.50475382643783
79,14221.36,10.62517079399925
86,16712.8,10.72133942824484
95,20176.31,10.83460233610003
104,23711,10.93813951504302
115,29012.49,11.05379427856152
126,34095.18,11.1595151366515
138,40610.97,11.26545805856012
152,49027.09,11.37879012492327
167,58396.46,11.50186863439523
184,70498.40000000001,12.67623701997281
202,83971.06,13.91968449132751
222,100018.42,15.30129121173751
244,119132.54,16.82105676290746
268,143821.27,18.47898065914942
294,171306.36,20.27506233088039
323,204044.02,22.27838100584267
355,243038.04,24.48893550694285
390,293404.64,26.90672442120414
429,349476,29.60082548340191
471,416262.93,32.50215684533448
517,495813.24,35.67979501102361
568,598564.34,39.20281492244371
625,712953.53,43.14028941956424
686,849203.16,47.35405478789215
754,1025189.9,52.05133654105138
828,1221109.75,57.16304484750528
910,1454471.05,62.82731816023214
1000,1755891.99,69.04413505670855
