panel_index,panel_title,dataset_index,gbar,r,kbar,s,N,inv_im_lambda_s
0,Exceptional point,0,1,1,1,0.5,100,22.604372467432576
0,Exceptional point,0,1,1,1,0.5,359,40.35224927784091
0,Exceptional point,0,1,1,1,0.5,1291,74.2466355728003
0,Exceptional point,0,1,1,1,0.5,4641,138.59887602674266
0,Exceptional point,0,1,1,1,0.5,16681,260.64009445803805
0,Exceptional point,0,1,1,1,0.5,59948,492.00594881407545
0,Exceptional point,0,1,1,1,0.5,215443,930.6319144615618
0,Exceptional point,0,1,1,1,0.5,774263,1762.1567462613493
0,Exceptional point,0,1,1,1,0.5,2782559,3338.5118339077853
0,Exceptional point,0,1,1,1,0.5,10000000,6326.8655649453685
0,Exceptional point,1,1.4,1,1,0.5,100,103.60485281289037
0,Exceptional point,1,1.4,1,1,0.5,359,600.0523154425283
0,Exceptional point,1,1.4,1,1,0.5,1291,3873.711861722529
0,Exceptional point,1,1.4,1,1,0.5,4641,25975.943621950875
0,Exceptional point,1,1.4,1,1,0.5,16681,176188.17133352612
0,Exceptional point,1,1.4,1,1,0.5,59948,1198790.2180449585
0,Exceptional point,1,1.4,1,1,0.5,215443,8164375.29155995
0,Exceptional point,1,1.4,1,1,0.5,774263,55617760.42387869
0,Exceptional point,1,1.4,1,1,0.5,2782559,378909213.87707865
0,Exceptional point,1,1.4,1,1,0.5,10000000,2581458895.500624
0,Exceptional point,2,0.6,1,1,0.5,100,532.0709407197658
0,Exceptional point,2,0.6,1,1,0.5,359,3190.730625390568
0,Exceptional point,2,0.6,1,1,0.5,1291,20935.027054934024
0,Exceptional point,2,0.6,1,1,0.5,4641,141124.23164462225
0,Exceptional point,2,0.6,1,1,0.5,16681,958673.9761664177
0,Exceptional point,2,0.6,1,1,0.5,59948,6525659.232721495
0,Exceptional point,2,0.6,1,1,0.5,215443,44448425.13137854
0,Exceptional point,2,0.6,1,1,0.5,774263,302803896.1764935
0,Exceptional point,2,0.6,1,1,0.5,2782559,2062942750.762157
0,Exceptional point,2,0.6,1,1,0.5,10000000,14054595487.655416
1,Regime A1,0,1,1,1,0.75,100,70.37140581395776
1,Regime A1,0,1,1,1,0.75,359,174.2046956104208
1,Regime A1,0,1,1,1,0.75,1291,443.12534336599794
1,Regime A1,0,1,1,1,0.75,4641,1141.3604022306422
1,Regime A1,0,1,1,1,0.75,16681,2958.526829460431
1,Regime A1,0,1,1,1,0.75,59948,7693.772322964873
1,Regime A1,0,1,1,1,0.75,215443,20043.16070760402
1,Regime A1,0,1,1,1,0.75,774263,52262.51270459346
1,Regime A1,0,1,1,1,0.75,2782559,136340.13893725316
1,Regime A1,0,1,1,1,0.75,10000000,355768.39029865013
1,Regime A1,1,1,1,1,1.0,100,222.2528380625501
1,Regime A1,1,1,1,1,1.0,359,758.0207008005098
1,Regime A1,1,1,1,1,1.0,1291,2655.9255908146993
1,Regime A1,1,1,1,1,1.0,4641,9420.283345076647
1,Regime A1,1,1,1,1,1.0,16681,33622.32746340771
1,Regime A1,1,1,1,1,1.0,59948,120387.69484487012
1,Regime A1,1,1,1,1,1.0,215443,431816.32161538803
1,Regime A1,1,1,1,1,1.0,774263,1550287.8468717108
1,Regime A1,1,1,1,1,1.0,2782559,5568456.20218298
1,Regime A1,1,1,1,1,1.0,10000000,20006326.556027133
1,Regime A1,2,1,1,1,1.5,100,2222.225277837936
1,Regime A1,2,1,1,1,1.5,359,14362.164842864078
1,Regime A1,2,1,1,1,1.5,1291,95428.43960691673
1,Regime A1,2,1,1,1,1.5,4641,641755.4651708837
1,Regime A1,2,1,1,1,1.5,16681,4342489.624114963
1,Regime A1,2,1,1,1,1.5,59948,29476060.847701453
1,Regime A1,2,1,1,1,1.5,215443,200431163.24545282
1,Regime A1,2,1,1,1,1.5,774263,1364132623.8433225
1,Regime A1,2,1,1,1,1.5,2782559,9288744110.664112
1,Regime A1,2,1,1,1,1.5,10000000,63265559529.931404
2,Regime A2,0,1,1,1,0.25,100,28.597396801140896
2,Regime A2,0,1,1,1,0.25,359,78.15711323314795
2,Regime A2,0,1,1,1,0.25,1291,209.39171188820595
2,Regime A2,0,1,1,1,0.25,4641,554.03796175505
2,Regime A2,0,1,1,1,0.25,16681,1456.4357111294128
2,Regime A2,0,1,1,1,0.25,59948,3815.5195598062596
2,Regime A2,0,1,1,1,0.25,215443,9978.43954075075
2,Regime A2,0,1,1,1,0.25,774263,26071.891491521594
2,Regime A2,0,1,1,1,0.25,2782559,68088.3571643756
2,Regime A2,0,1,1,1,0.25,10000000,177771.7068826433
2,Regime A2,1,1,1,1,0.15,100,48.64003279842537
2,Regime A2,1,1,1,1,0.15,359,146.5218215862589
2,Regime A2,1,1,1,1,0.15,1291,438.2493192720241
2,Regime A2,1,1,1,1,0.15,4641,1304.763666059242
2,Regime A2,1,1,1,1,0.15,16681,3876.4399155750434
2,Regime A2,1,1,1,1,0.15,59948,11505.86120012392
2,Regime A2,1,1,1,1,0.15,215443,34139.27342574298
2,Regime A2,1,1,1,1,0.15,774263,101279.84103003315
2,Regime A2,1,1,1,1,0.15,2782559,300444.66262384935
2,Regime A2,1,1,1,1,0.15,10000000,891239.806937538
2,Regime A2,2,1,1,1,-0.25,100,319.11827211029043
2,Regime A2,2,1,1,1,-0.25,359,1566.810636301654
2,Regime A2,2,1,1,1,-0.25,1291,7744.350639144483
2,Regime A2,2,1,1,1,-0.25,4641,38313.92777665993
2,Regime A2,2,1,1,1,-0.25,16681,189584.76627297822
2,Regime A2,2,1,1,1,-0.25,59948,938049.1371096524
2,Regime A2,2,1,1,1,-0.25,215443,4641597.7011771025
2,Regime A2,2,1,1,1,-0.25,774263,22967366.079818394
2,Regime A2,2,1,1,1,-0.25,2782559,113646386.92261471
2,Regime A2,2,1,1,1,-0.25,10000000,562341381.4067044
3,Regime B,0,1,1.15,1,0.1,100,419.6704535357922
3,Regime B,0,1,1.15,1,0.1,359,2481.6576122618917
3,Regime B,0,1,1.15,1,0.1,1291,15267.19769077296
3,Regime B,0,1,1.15,1,0.1,4641,95259.95750485902
3,Regime B,0,1,1.15,1,0.1,16681,596533.8849607328
3,Regime B,0,1,1.15,1,0.1,59948,3730558.916313227
3,Regime B,0,1,1.15,1,0.1,215443,23250913.555292156
3,Regime B,0,1,1.15,1,0.1,774263,144296706.68391117
3,Regime B,0,1,1.15,1,0.1,2782559,891596052.1071302
3,Regime B,0,1,1.15,1,0.1,10000000,5486198928.561567
3,Regime B,1,1,1.2,1,0.25,100,957.9454732187451
3,Regime B,1,1,1.2,1,0.25,359,8808.281221191603
3,Regime B,1,1,1.2,1,0.25,1291,82672.27488132482
3,Regime B,1,1,1.2,1,0.25,4641,762301.8842291995
3,Regime B,1,1,1.2,1,0.25,16681,6873142.286796682
3,Regime B,1,1,1.2,1,0.25,59948,60757428.915636435
3,Regime B,1,1,1.2,1,0.25,215443,528725880.78155047
3,Regime B,1,1,1.2,1,0.25,774263,4545133471.821769
3,Regime B,1,1,1.2,1,0.25,2782559,38705516341.027626
3,Regime B,1,1,1.2,1,0.25,10000000,327237219829.3012
3,Regime B,2,1,1.4,1,0.7,100,72304.41686640747
3,Regime B,2,1,1.4,1,0.7,359,2008550.6107741243
3,Regime B,2,1,1.4,1,0.7,1291,53310368.18315387
3,Regime B,2,1,1.4,1,0.7,4641,1369182644.1772661
3,Regime B,2,1,1.4,1,0.7,16681,34484169417.916794
3,Regime B,2,1,1.4,1,0.7,59948,858459484177.0515
3,Regime B,2,1,1.4,1,0.7,215443,21228520577452.895
3,Regime B,2,1,1.4,1,0.7,774263,522856891522362.7
3,Regime B,2,1,1.4,1,0.7,2782559,1.2847295977100716e+16
3,Regime B,2,1,1.4,1,0.7,10000000,3.152262176509529e+17
4,Regime C,0,1,1.25,1,-0.5,100,10149.016397884017
4,Regime C,0,1,1.25,1,-0.5,359,129455.25358455881
4,Regime C,0,1,1.25,1,-0.5,1291,1668870.4053122532
4,Regime C,0,1,1.25,1,-0.5,4641,21547108.733338583
4,Regime C,0,1,1.25,1,-0.5,16681,278286318.70226604
4,Regime C,0,1,1.25,1,-0.5,59948,3593875184.6213646
4,Regime C,0,1,1.25,1,-0.5,215443,46416097601.27528
4,Regime C,0,1,1.25,1,-0.5,774263,599484690373.8754
4,Regime C,0,1,1.25,1,-0.5,2782559,7742640019010.745
4,Regime C,0,1,1.25,1,-0.5,10000000,100000019647508.38
4,Regime C,1,1,-0.2,1,-1.5,100,1.6963524519316653
4,Regime C,1,1,-0.2,1,-1.5,359,1.8581294835836308
4,Regime C,1,1,-0.2,1,-1.5,1291,2.0762040405577484
4,Regime C,1,1,-0.2,1,-1.5,4641,2.3414420899194135
4,Regime C,1,1,-0.2,1,-1.5,16681,2.6516602535524845
4,Regime C,1,1,-0.2,1,-1.5,59948,3.0086704857601223
4,Regime C,1,1,-0.2,1,-1.5,215443,3.4167183748942533
4,Regime C,1,1,-0.2,1,-1.5,774263,3.881651860044741
4,Regime C,1,1,-0.2,1,-1.5,2782559,4.410660458735
4,Regime C,1,1,-0.2,1,-1.5,10000000,5.012189065097021
4,Regime C,2,1,0.5,1,-1.0,100,101.78262974929798
4,Regime C,2,1,0.5,1,-1.0,359,360.88921862963514
4,Regime C,2,1,0.5,1,-1.0,1291,1292.9428349892594
4,Regime C,2,1,0.5,1,-1.0,4641,4642.970217857337
4,Regime C,2,1,0.5,1,-1.0,16681,16682.984395780262
4,Regime C,2,1,0.5,1,-1.0,59948,59949.991798269744
4,Regime C,2,1,0.5,1,-1.0,215443,215444.99568186296
4,Regime C,2,1,0.5,1,-1.0,774263,774264.9977244913
4,Regime C,2,1,0.5,1,-1.0,2782559,2782560.998800314
4,Regime C,2,1,0.5,1,-1.0,10000000,10000001.999367343
5,Regime D,0,1,0.5,1,0.2,100,204.37234245476338
5,Regime D,0,1,0.5,1,0.2,359,1045.417591385642
5,Regime D,0,1,0.5,1,0.2,1291,5112.518328023882
5,Regime D,0,1,0.5,1,0.2,4641,24383.473188683372
5,Regime D,0,1,0.5,1,0.2,16681,114793.18628381626
5,Regime D,0,1,0.5,1,0.2,59948,536753.6251477272
