T [r = 1.1 + s = 0.25],P(t)(N=100)[r = 1.1 + s = 0.25],P(t) (N=1000)[r = 1.1 + s = 0.25],P(t) (N=10000)[r = 1.1 + s = 0.25],T [r = -1.0 + s = -0.5],P(t)(N=100)[r = -1.0 + s = -0.5],P(t) (N=1000)[r = -1.0 + s = -0.5],P(t) (N=10000)[r = -1.0 + s = -0.5],T [r = -1.0 + s = -1.0],P(t)(N=100) [r = -1.0 + s = -1.0],P(t) (N=1000) [r = -1.0 + s = -1.0],P(t) (N=10000) [r = -1.0 + s = -1.0]
0.1,0.9993858471680335,0.999965001000555,0.9999980172377981,0.1,0.9801948323649806,0.9936953900351444,0.99800199862742,0.1,0.8187166500383621,0.8187305916221704,0.8187307514428448
0.11,0.9993262452166181,0.9999615555868167,0.9999978205268751,0.11,0.9782360121843272,0.993067119331196,0.9978024181824133,0.11,0.8025033534870261,0.8025186236373154,0.8025187961992026
0.12,0.9992669344515582,0.9999581185532644,0.9999976240356669,0.12,0.9762811104385792,0.9924392458561847,0.9976028776495052,0.12,0.7866111338004422,0.7866276744450053,0.7866278591808545
0.13,0.9992079055520997,0.9999546895259611,0.9999974277481558,0.13,0.9743301185616468,0.9918117693581459,0.9974033770207138,0.13,0.7710336325875704,0.7710513874409543,0.771051583800984
0.14,0.9991491492901867,0.999951268133322,0.9999972316483883,0.14,0.9723830272913012,0.9911846895866051,0.9972039162880593,0.14,0.7557646173914948,0.7557835318902001,0.7557837393416281
0.15,0.9990906565298575,0.9999478540061112,0.9999970357204748,0.15,0.9704398271853401,0.9905580062904417,0.9970044954435631,0.15,0.7407979791760944,0.7408180004347211,0.7408182184613069
0.16,0.9990324182266463,0.999944446777439,0.9999968399485911,0.16,0.9685005090967642,0.9899317192191069,0.9968051144792485,0.16,0.7261277298805159,0.7261488066504068,0.7261490347520057
0.17,0.998974425426984,0.9999410460827616,0.999996644316977,0.17,0.9665650644883382,0.9893058281220628,0.9966057733871402,0.17,0.711748000025216,0.7117700826524035,0.7117703203445314
0.18,0.9989166692676049,0.9999376515598756,0.9999964488099382,0.18,0.9646334855315167,0.9886803327489162,0.9964064721592645,0.18,0.6976530363649531,0.6976760767478783,0.6976763235612873
0.19,0.9988591409749555,0.9999342628489187,0.9999962534118461,0.19,0.9627057650023385,0.9880552328495293,0.9962072107876495,0.19,0.6838371995875429,0.6838611511352594,0.6838614066155251
0.2,0.9988018318646066,0.9999308795923646,0.9999960581071382,0.2,0.9607818960388799,0.9874305281737945,0.9960079892643245,0.2,0.6702949620577963,0.6703197796490363,0.6703200433561545
0.21,0.9987447333406664,0.9999275014350222,0.9999958628803182,0.21,0.9588618718501494,0.9868062184718893,0.995808807581321,0.21,0.6570209056059868,0.6570465455492163,0.6570468170572094
0.22,0.9986878368952007,0.9999241280240314,0.999995667715957,0.22,0.9569456854630052,0.9861823034940401,0.9956096657306714,0.22,0.644009719360074,0.6440361393545506,0.6440364182510854
0.23,0.9986311341076513,0.9999207590088626,0.9999954725986927,0.23,0.9550333295678171,0.9855587829907156,0.9954105637044103,0.23,0.6312561976208481,0.6312833567186674,0.6312836426046815
0.24,0.9985746166442612,0.999917394041312,0.9999952775132308,0.24,0.9531247964861997,0.984935656712483,0.9952115014945733,0.24,0.6187552377791576,0.61878309634826,0.6187833888375982
0.25,0.9985182762574996,0.9999140327754993,0.9999950824443445,0.25,0.951220078247298,0.9843129244101044,0.9950124790931981,0.25,0.6065018382743834,0.606530357962497,0.6065306566815558
0.26,0.9984621047854925,0.9999106748678661,0.9999948873768757,0.26,0.9493191667325354,0.9836905858344793,0.9948134964923239,0.26,0.5944910965933432,0.5945202402928395,0.5945205448802224
0.27,0.9984060941514539,0.9999073199771719,0.9999946922957348,0.27,0.9474220538377169,0.9830686407366734,0.9946145536839912,0.27,0.5827182073088251,0.582747939122464,0.5827482492286443
0.28,0.9983502363631223,0.9999039677644918,0.9999944971859013,0.28,0.9455287316059974,0.9824470888679083,0.9944156506602424,0.28,0.5711784601569644,0.5712087453645087,0.5712090606515006
0.29,0.9982945235121973,0.9999006178932131,0.9999943020324236,0.29,0.9436391923014467,0.9818259299795603,0.9942167874131214,0.29,0.559867238152694,0.5598980431783712,0.55989836331941
0.3,0.9982389477737809,0.9998972700290331,0.9999941068204202,0.3,0.9417534284143037,0.9812051638231671,0.9940179639346736,0.3,0.5487800157425168,0.5488113081233073,0.5488116328025383
0.31,0.9981835014058217,0.9998939238399556,0.9999939115350794,0.31,0.9398714326088874,0.980584790150419,0.993819180216946,0.31,0.5379123569938574,0.5379441053485912,0.5379444342607647
