beta,Change in Exponent(N = 100),Change in Exponent(N = 1000),Change in Exponent(N = 10000)
-1,-1.821091672645174,-1.87932297506307,-1.910200302093346
-0.9,-1.743462753013769,-1.797680601668796,-1.825272331267981
-0.8,-1.651417589859843,-1.700333734164947,-1.72598875327043
-0.7000000000000001,-1.552839730208525,-1.600385321533197,-1.62598913316099
-0.6000000000000001,-1.45301322426038,-1.500387625028107,-1.525989185185415
-0.5000000000000001,-1.35317147983764,-1.400392184972789,-1.425989315864892
-0.4000000000000001,-1.25342113102298,-1.300401282829515,-1.325989644116017
-0.3000000000000002,-1.153816218717327,-1.200419433731891,-1.225990468640941
-0.2000000000000002,-1.054440921773955,-1.100455642744299,-1.125992539726682
-0.1000000000000002,-0.9554273427145844,-1.000527862170526,-1.025997741884481
-2.220446049250313e-16,-0.8569815933659349,-0.9006718513004839,-0.9260108080146605
0.09999999999999964,-0.7594223511915318,-0.8009587201339496,-0.8260436217160855
0.1999999999999997,-0.6632353584499596,-0.701529405617686,-0.7261260022923801
0.2999999999999998,-0.5691446781126642,-0.6026613940520468,-0.6263326576637712
0.3999999999999997,-0.4781928731144689,-0.5048938970734502,-0.5268500241694102
0.4999999999999996,-0.391803054359771,-0.409248013720022,-0.4281388191831264
0.5999999999999996,-0.3117653112219567,-0.3175628425959957,-0.3313102159145954
0.6999999999999997,-0.2400657116329425,-0.2328493827772938,-0.23889031401379
0.7999999999999996,-0.1785064582710071,-0.1592369151838457,-0.1558798225795001
0.8999999999999995,-0.1281976722499735,-0.1007896471489042,-0.0895713474685812
0.9999999999999996,-0.08917057756524978,-0.05927895391035228,-0.0452584466185745
1.1,-0.06036583124215791,-0.03292510031619451,-0.02094252740804448
1.199999999999999,-0.04000532376702178,-0.01766106594810266,-0.009511333496243654
1.299999999999999,-0.02610138204253041,-0.009359512396636394,-0.004602998002992239
1.399999999999999,-0.01684721424180809,-0.005012657163715672,-0.002585483463173589
1.5,-0.01079855637146811,-0.00278396273413452,-0.001771745815009485
1.6,-0.00689355792934538,-0.001653927961026506,-0.001446086085488934
1.699999999999999,-0.00439304080539595,-0.001084233201695535,-0.001316166282363412
1.799999999999999,-0.002800375787052991,-0.0007978638542007838,-0.001264400981107784
1.899999999999999,-0.001789428211559599,-0.000654125805773754,-0.001243785973003357
1.999999999999999,-0.001149133208560558,-0.0005820324063123673,-0.001235577901017908
